"","Name","WAR","RAA.off","RAA.pitch","RAA.field","RAA.br"
"665","Kalish",-0.65,-5.33,0,-1.16,-0.66
"834","Soto, N",-0.65,-6.12,0,-0.39,0
"328","Wilson, Br",-0.65,0,-5.95,-0.59,0
"236","Barton",-0.66,-5.27,0,-1.32,-0.23
"450","Falu",-0.66,-6.24,0,-0.37,-0.37
"387","Carp",-0.66,-5.14,-0.96,-0.53,-1.07
"846","Galvis",-0.66,-6.63,0,-0.01,0.09
"397","Young, C",-0.67,-5.77,0,-0.9,0.97
"952","Ross Jr.",-0.67,0.14,-7.71,0.89,-0.23
"867","Ramirez, Er",-0.67,-0.34,-6.47,0.12,0
"372","Lincecum",-0.67,-0.34,-6.17,-0.23,0.06
"1141","Peterson, J",-0.68,-9.01,0,2.23,0.2
"459","Lannan",-0.68,0,-6.81,0,0
"90","Gonzalez, Ad",-0.69,-7.32,0,0.46,0.64
"137","Howard",-0.69,-7.83,0,0.96,-2.48
"622","Garza, M",-0.69,-2.17,-3.79,-0.91,-0.23
"309","Harrell",-0.69,0,-6.87,-0.05,0
"855","Dominguez, J",-0.69,-0.21,-6.68,-0.02,0
"1033","Krol",-0.69,0,-6.98,0.05,0
"1025","Heaney",-0.71,-0.71,-6.24,-0.17,-0.01
"312","Morton",-0.72,-3.78,-3.24,-0.13,-0.35
"475","Hundley",-0.72,-6.6,0,-0.55,-2.57
"786","Grandal",-0.72,-6.5,0,-0.65,1.31
"415","Bailey, H",-0.72,-1.16,-5.72,-0.3,-0.07
"101","Ross, D",-0.72,-8.31,0,1.12,-1.75
"105","Ross, C",-0.72,-7.9,0,0.66,0.91
"933","Maronde",-0.73,0,-6.98,-0.29,0
"589","Davis, I",-0.73,-8.11,0,0.8,-0.81
"639","Beckham, G",-0.73,-10.34,0,3.03,0.7
"91","Peavy",-0.73,0,-7.8,0.46,0
"809","Moustakas",-0.74,-5.18,0,-2.18,-0.56
"905","Friedrich",-0.74,-0.07,-7.33,0.03,-0.04
"362","Carroll",-0.74,0,-6.35,-1.03,0
"338","Headley",-0.74,-6.33,0,-1.07,0.59
"8","Konerko",-0.74,-7.89,0,0.45,-0.8
"1049","Skaggs",-0.75,0,-6.09,-1.37,0
"596","Bianchi",-0.75,-8.34,0,0.8,-0.29
"24","Nathan",-0.75,0,-7.45,-0.08,0
"532","Nova",-0.75,0,-7.1,-0.44,0
"45","Dickey",-0.75,-0.36,-7.39,0.2,-0.02
"277","Putkonen",-0.76,0,-7.53,-0.03,0
"435","Maybin",-0.76,-9.78,0,2.21,1.46
"572","Masterson",-0.76,-0.09,-6.23,-1.25,0
"126","Upton, B",-0.76,-8.88,0,1.28,4.74
"103","Guthrie",-0.76,-0.66,-7.19,0.23,-0.01
"901","Federowicz",-0.77,-7.34,0,-0.34,-0.1
"777","Dominguez",-0.77,-11.69,0,3.97,-3.01
"407","Kratz",-0.78,-7.15,0,-0.6,-1.08
"531","Doubront",-0.78,0,-7.31,-0.47,0
"276","Cozart",-0.78,-16.22,0,8.42,0.98
"790","Hicks",-0.78,-8.11,0,0.29,2.25
"427","Saltalamacchia",-0.79,-7.11,0,-0.75,0.25
"707","Cahill",-0.8,-0.1,-7.27,-0.6,-0.01
"439","Jennings, D",-0.8,-11.13,0,3.15,1.1
"502","Romine, A",-0.8,-6.15,0,-1.86,0.49
"1122","Whitley",-0.8,0.02,-8.23,0.16,0.04
"920","Hoes",-0.8,-6.71,0,-1.34,-0.71
"73","Veras",-0.81,0,-7.88,-0.18,0
"695","Mills",-0.81,-1.12,-7.06,0.1,0
"171","Pena, B",-0.82,-8.74,0,0.55,-1.83
"299","Reynolds, Ma",-0.82,-8.41,0,0.22,-0.32
"510","Uggla",-0.82,-6.66,0,-1.54,1.86
"42","Sabathia",-0.82,-0.83,-7.22,-0.17,0
"279","Barney",-0.82,-7.61,0,-0.62,-0.76
"756","Delgado, R",-0.83,-0.87,-7.41,0.02,0
"123","Dobbs",-0.83,-8.22,0,-0.06,-0.81
"1127","Bradley Jr.",-0.83,-9.18,0,0.89,0.95
"169","Maholm",-0.83,-0.32,-7.64,-0.34,0.01
"522","Florimon",-0.84,-10.72,0,2.32,0.72
"787","Grimm",-0.84,0,-8.17,-0.27,0
"472","Sanchez, G",-0.85,-10.11,0,1.59,-1.34
"16","Beltran",-0.85,-6.98,0,-1.55,-1.29
"61","Pujols",-0.86,-7.86,0,-0.71,-0.13
"170","Murphy",-0.86,-5.76,0,-2.83,-1.58
"229","Sweeney, R",-0.86,-8.22,0,-0.38,-1.91
"1132","Brooks",-0.87,0,-8.46,-0.24,0
"767","Clemens",-0.88,0,-9.11,0.34,0
"138","Sizemore, G",-0.89,-5.21,0,-3.68,-1.6
"629","Aoki",-0.9,-11.11,0,2.08,1.29
"187","Hernandez, R",-0.91,-2.36,-7.46,0.73,-0.01
"23","Pierzynski",-0.91,-7.7,0,-1.39,-2.76
"772","d'Arnaud, T",-0.91,-6.92,0,-2.19,-0.18
"285","Lobaton",-0.92,-8.89,0,-0.33,0.77
"877","Arcia, O",-0.92,-7.58,0,-1.65,-2.08
"1018","Buchanan, D",-0.92,-1.62,-7.87,0.25,-0.01
"808","Moreland",-0.92,-7.54,0.39,-2.08,-3.16
"1032","Krauss",-0.93,-12.07,0,2.74,-1.87
"373","Buchholz",-0.93,0.4,-8.61,-1.13,0.02
"684","McAllister",-0.94,-0.35,-8.81,-0.2,-0.01
"925","Joseph",-0.94,-9.1,0,-0.28,-0.86
"666","Freese",-0.94,-7.11,0,-2.3,-4.08
"935","Maurer",-0.95,0.01,-9.26,-0.22,0
"168","Swisher",-0.96,-6.36,0,-3.21,-2.71
"597","Bourjos",-0.96,-8.37,0,-1.23,1.01
"478","Pelfrey",-0.96,0,-9.72,0.08,0
"822","Revere",-0.96,-2.11,0,-7.53,5.37
"194","Verlander",-0.98,0.39,-10.8,0.66,-0.04
"871","Inciarte",-0.98,-13.12,0,3.28,-2.03
"297","Lucas",-0.99,-8.56,0,-1.35,1.44
"27","Burnett, AJ",-1,-0.93,-9.21,0.18,0.36
"1001","Ackley",-1,-9.7,0,-0.28,0.49
"454","Rasmus, C",-1,-5.35,0,-4.7,-1.86
"211","Rodriguez, W",-1.01,0.12,-10.23,0.02,-0.16
"201","Saunders, J",-1.01,0,-9.86,-0.28,0
"320","Arencibia",-1.02,-10.22,0,0.05,-0.21
"705","Bolsinger",-1.02,-0.09,-10.33,0.21,-0.01
"251","Feldman",-1.03,-0.37,-8.87,-1.04,0
"440","Espinosa",-1.04,-13.31,0,2.95,-1.86
"801","Lueke",-1.05,0,-10.15,-0.31,0
"6","Ibanez",-1.05,-9.05,0,-1.47,-2.23
"687","Presley",-1.06,-8.73,0,-1.86,-1.38
"606","Escobar, Y",-1.06,-6.09,0,-4.54,1.1
"142","Correia",-1.07,0.64,-10.73,-0.59,-0.04
"172","Cain, M",-1.07,0.96,-11.57,-0.1,-0.12
"513","Morales, F",-1.07,-0.37,-10.93,0.55,-0.34
"2","Colon",-1.08,-3.99,-5.48,-1.33,0.02
"108","Williams",-1.09,0,-10.44,-0.45,0
"115","Rios, A",-1.09,-7.12,0,-3.79,-2.76
"223","Baker, S",-1.1,-0.18,-10.89,0.08,0
"136","Hardy",-1.12,-9.36,0,-1.79,-3.82
"512","Paulino",-1.12,-0.33,-10.62,-0.27,0
"1142","Martinez, N",-1.13,-0.07,-11.16,-0.07,0
"771","Culberson",-1.15,-9.11,0,-2.37,-1.2
"176","Callaspo",-1.15,-10.93,0,-0.58,-2.51
"1048","Singleton",-1.17,-8.42,0,-3.26,-0.16
"25","Pena, C",-1.17,-10.77,0,-0.96,-1.92
"999","Romero, S",-1.18,-13.54,0,1.71,1.82
"1070","Nuno",-1.19,-0.18,-11.97,0.23,-0.07
"380","Villanueva, Ca",-1.21,-0.94,-11.45,0.34,0
"899","Eovaldi",-1.23,-3.65,-8.58,-0.04,0.39
"761","Bettis",-1.25,0,-12.18,-0.36,0
"308","Aviles",-1.26,-10.66,0,-1.96,-1.44
"662","Craig",-1.26,-13.2,0,0.57,-2.64
"617","Scheppers",-1.27,0,-12.92,0.25,0
"508","Johnson, J",-1.27,-0.27,-11.79,-0.67,0
"568","Alonso",-1.28,-11.29,0,-1.54,3.15
"269","Prado",-1.29,-8.67,0,-4.22,2.12
"1155","Wang",-1.3,0,-13.06,0.09,0
"1092","Olt",-1.31,-11.58,0,-1.51,1.19
"458","Tomlin",-1.31,0,-12.57,-0.55,0
"507","Estrada",-1.32,0.23,-13.42,-0.02,-0.58
"1010","Schoop",-1.35,-11.56,0,-1.89,0.16
"1078","Gyorko",-1.35,-10.95,0,-2.57,1.96
"7","Jeter",-1.36,-7.56,0,-6,0.75
"376","Johnson, C",-1.36,-8.35,0,-5.22,0.99
"227","Arias",-1.36,-12.69,0,-0.92,-1.39
"492","Kemp",-1.36,-10.65,0,-2.98,0.21
"974","Garcia, L",-1.39,-8.65,-1.72,-3.58,0.23
"986","Turner, J",-1.42,1.08,-14.82,-0.45,-0.01
"255","Nolasco",-1.42,-0.56,-13.46,-0.18,0
"139","Haren",-1.44,1.69,-16.24,0.18,-0.26
"731","Nicasio",-1.45,-1.18,-12.73,-0.56,-0.08
"749","Lake",-1.45,-7.87,0,-6.66,1.62
"504","Guzman",-1.47,-16.05,0,1.39,-2.02
"523","Cabrera, E",-1.48,-8.99,0,-5.78,1.26
"1077","Choice",-1.51,-8.63,0,-6.42,-0.86
"402","Noesi",-1.52,0.11,-15.04,-0.24,0
"571","Smoak",-1.54,-14.77,0,-0.6,-1.16
"153","Raburn",-1.54,-14.33,0,-1.11,-0.45
"80","Lewis",-1.58,0.93,-15.35,-1.37,0
"265","Stults",-1.59,-1.32,-15.07,0.5,-0.1
"241","Schierholtz",-1.59,-16.23,0,0.32,1.29
"650","Sierra",-1.6,-13.49,0,-2.52,-1.15
"1079","Hechavarria",-1.66,-11.9,0,-4.71,1.57
"416","Butler, B",-1.67,-16.6,0,-0.06,-5.02
"20","Soriano, A",-1.68,-16.08,0,-0.73,0.48
"745","Rienzo",-1.68,-0.01,-17.47,0.65,-0.01
"410","Bourn",-1.75,-7.94,0,-9.53,-1.85
"140","Jackson, E",-1.77,-0.29,-17.66,0.22,-0.08
"494","Venable",-1.81,-14.25,0,-3.9,1.53
"119","Loney",-1.89,-15.52,0,-3.41,-3.19
"535","Parra, G",-1.99,-12.48,0,-7.45,0.23
"1107","Bogaerts",-2.04,-13.74,0,-6.66,0.37
"19","Molina, J",-2.1,-20.17,0,-0.79,-2.39
"349","Kendrick, K",-2.39,-4.5,-20.16,0.8,-0.19
